











0.48
0.47
0.73
0.77,0.26
0.81
0.71
0.71
0.74
0.62
0.75,0.37
0.73,0.38
0.84
0.75,0.51,0.29
0.8
0.67
0.82,0.4
0.73,0.47
0.86,0.54
0.81,0.64
0.77,0.72
0.67,0.65,0.4
0.72,0.6
0.82,0.77
0.85,0.75
0.75,0.73
0.77,0.67
0.78,0.36
0.69,0.33
0.57,0.49
0.72,0.5
0.75,0.36
0.8,0.67
0.78,0.69,0.59
0.81,0.61,0.34
0.89,0.57,0.38
0.87,0.61
0.83,0.51
0.77,0.28,0.26
0.78,0.5
0.62,0.55
0.65,0.51
0.62,0.5
0.64,0.28
0.62
0.52,0.32
0.51,0.41
0.58,0.46
0.61,0.39,0.3
0.58,0.48
0.76,0.34
0.81,0.49
0.82,0.26
0.79,0.46
0.74,0.34
0.64,0.42
0.47,0.37
0.67
0.66,0.26
0.61,0.48
0.69,0.44,0.42
0.51,0.46
0.49,0.43
0.69,0.55,0.41
0.44,0.35,0.33
0.54,0.53,0.37
0.5,0.34
0.39,0.29
0.34
0.31
0.36,0.29
0.3,0.29
0.41
0.41,0.33
0.38,0.34
0.47,0.45
0.54,0.47
0.58,0.54
0.4,0.38
0.52,0.4
0.5,0.38
0.61,0.4
0.5,0.49
0.56,0.55
0.65,0.55
0.62,0.57
0.59,0.52
0.52,0.47
0.54,0.48
0.55,0.46
0.59,0.49
0.63,0.49
0.61,0.38
0.43,0.43,0.35
0.4
0.54,0.36
0.59,0.32
0.69,0.44
0.59,0.51
0.59,0.47,0.33
0.54,0.31,0.26
0.52,0.42
0.6,0.51
0.68,0.27
0.69
0.77,0.29
0.76,0.72
0.81,0.53
0.74,0.42
0.64,0.5
0.68,0.34
0.68
0.65,0.29
0.69,0.36
0.63,0.51
0.62,0.54
0.64,0.58
0.61,0.55
0.54,0.45
0.56,0.42
0.55,0.28
0.52,0.36
0.48,0.37
0.44,0.4
0.38,0.38
0.36,0.33
0.42,0.34
0.47,0.38
0.5,0.35
0.47,0.34
0.52,0.34
0.47,0.32
0.38,0.3
0.31,0.31
0.46,0.29
0.35,0.34,0.29
0.43,0.41
0.53,0.33,0.26
0.53,0.31
0.5,0.32
0.56,0.28
0.57,0.33,0.26
0.57,0.31,0.25
0.61,0.35
0.58
0.58,0.28,0.25
0.59,0.3,0.26
0.62,0.35
0.59,0.32,0.26
0.58,0.3
0.53,0.26
0.47,0.27
0.49
0.5
0.53
0.5,0.27
0.56,0.26
0.55
0.53
0.57
0.51
0.51
0.57
0.52
0.55
0.51
0.52
0.54
0.55
0.58
0.52
0.53
0.52,0.26
0.51,0.26
0.5
0.48
0.47
0.48
0.44
0.47
0.48
0.46
0.41
0.42
0.43
0.37,0.25
0.37,0.25
0.42,0.38
0.45
0.4
0.33,0.26
0.31,0.29,0.29,0.25
0.45,0.3,0.29,0.25
0.29,0.29
0.41,0.34,0.26,0.25
0.42,0.42,0.28
0.52,0.36,0.31
0.51,0.38,0.31
0.51,0.34,0.31,0.28
0.5,0.32
0.42
0.38,0.33,0.3
0.43,0.3,0.27
0.84,0.42,0.34
0.62,0.45,0.32
0.53,0.48,0.34
0.46,0.41,0.36
0.47,0.38,0.34
0.45,0.43,0.4,0.26,0.25
0.43,0.41,0.39,0.35,0.31,0.26
0.44,0.38,0.32,0.3,0.28,0.25
0.6,0.46,0.38,0.31,0.28,0.25
0.47,0.33,0.25
0.46,0.32,0.28,0.27,0.25
0.44,0.39,0.33,0.29,0.25
0.44,0.41,0.32,0.3
0.42,0.38,0.33
0.44,0.35,0.32,0.25
0.43,0.36,0.36,0.31,0.27
0.53,0.45,0.32
0.44,0.29,0.29
0.44,0.31,0.27,0.25
0.5,0.45,0.32
0.45,0.44,0.28
0.41,0.35
0.41,0.38
0.44,0.4,0.26
0.42,0.31
0.49,0.28,0.26
0.51,0.4
0.53,0.42,0.25
0.51,0.32,0.25
0.5,0.35,0.3,0.3
0.5,0.31,0.25
0.55,0.29
0.58,0.47,0.27,0.26
0.55,0.34,0.29
0.55,0.31,0.3,0.27,0.27
0.47,0.39,0.27,0.26
0.44,0.41,0.34,0.29,0.26
0.42,0.34,0.31,0.25
0.46,0.39,0.33,0.27,0.26
0.44,0.4,0.38,0.32,0.27
0.45,0.4,0.29,0.29
0.42,0.39,0.29,0.28
0.43,0.27,0.27,0.27
0.45,0.37,0.33,0.29,0.27
0.46,0.4,0.3,0.26
0.47,0.39,0.38,0.33,0.31,0.29
0.52,0.5,0.48,0.36,0.32,0.31
0.48,0.47,0.46,0.38,0.34,0.28
0.48,0.42,0.33,0.33,0.3,0.27
0.47,0.34,0.34,0.31,0.29,0.29
0.47,0.39,0.37,0.33,0.27
0.64,0.5,0.44,0.32
0.48,0.42,0.38,0.32,0.31,0.29
0.47,0.41,0.37,0.34,0.3
0.5,0.46,0.37,0.29,0.28
0.45,0.36,0.35,0.28
0.64,0.46,0.35,0.31
0.63,0.4,0.37,0.27
0.39,0.38,0.32,0.29,0.29,0.26
0.59,0.37,0.29
0.55,0.37,0.25
0.43,0.32,0.28
0.47,0.29,0.26
0.41,0.38,0.31,0.3,0.27
0.53,0.37,0.29,0.27
0.44,0.37,0.34,0.28
0.44,0.37,0.35,0.31,0.31
0.4,0.35,0.3,0.26,0.26
0.48,0.36,0.27,0.26
0.44,0.33,0.32,0.28,0.27,0.27
0.45,0.31,0.28,0.26
0.55,0.32,0.3,0.26
0.54,0.43,0.31,0.3
0.55,0.35,0.33,0.29
0.54,0.32,0.28
0.55,0.27,0.26,0.26,0.26
0.57,0.35,0.28
0.44,0.28,0.28,0.27
0.58,0.34,0.34
0.34,0.32,0.26,0.26
0.48,0.29,0.28
0.4,0.32,0.28,0.26
0.52,0.34
0.49,0.34
0.55,0.35,0.28
0.54,0.35,0.28
0.57,0.33,0.32
0.62,0.34
0.64,0.33,0.26
0.4,0.35,0.26
0.43,0.34,0.29,0.26
0.36,0.32,0.3,0.28,0.25
0.4,0.31,0.3,0.27
0.4,0.39,0.36,0.28
0.45,0.4,0.29,0.28
0.62,0.37,0.29
0.58,0.37,0.3,0.29
0.52,0.41,0.31,0.27
0.52,0.44,0.29,0.27
0.6,0.42,0.33
0.64,0.44,0.41
0.6,0.41,0.36
0.59,0.4,0.3
0.51,0.4,0.3
0.44,0.4,0.3
0.5,0.4,0.3
0.36,0.32,0.29
0.55,0.35,0.31
0.66,0.35,0.31
0.42,0.33,0.3
0.33,0.32
0.29,0.29
0.35,0.28
0.39,0.28,0.25
0.37,0.28,0.25
0.31,0.28
0.33,0.27
0.29,0.29,0.28,0.28
0.35,0.28,0.26
0.31,0.29,0.27
0.42,0.3,0.26
0.53,0.28
0.64,0.3,0.28
0.67,0.31,0.31
0.65,0.35,0.26
0.39,0.36,0.27
0.43,0.4,0.28
0.52,0.31,0.29
0.46,0.39,0.3
