0.71,0.56,0.5,0.46,0.42,0.36
0.78,0.63,0.54,0.44,0.42,0.36
0.73,0.63,0.46,0.45,0.41,0.33
0.61,0.58,0.58,0.53,0.51,0.48
0.67,0.54,0.53,0.5,0.5,0.48
0.65,0.58,0.53,0.5,0.5,0.44
0.6,0.59,0.55,0.39,0.31,0.27
0.59,0.58,0.5,0.48,0.47,0.39
0.66,0.56,0.47,0.44,0.39,0.33
0.66,0.5,0.46,0.35,0.31,0.3
0.62,0.51,0.47,0.35,0.32,0.31
0.62,0.48,0.43,0.37,0.36,0.36
0.61,0.58,0.54,0.5,0.4,0.38
0.67,0.42,0.42,0.4,0.38,0.32
0.61,0.49,0.46,0.44,0.41,0.3
0.53,0.39,0.38,0.38,0.36,0.33
0.55,0.49,0.47,0.35,0.35,0.34
0.6,0.53,0.47,0.39,0.36,0.35
0.68,0.49,0.43,0.37,0.32,0.28
0.66,0.53,0.53,0.4,0.4,0.39
0.69,0.61,0.51,0.47,0.46,0.41
0.72,0.64,0.5,0.43,0.41,0.38
0.72,0.45,0.41,0.41,0.37,0.28
0.7,0.37,0.34,0.3,0.28,0.27
0.64,0.43,0.41,0.3,0.26
0.69,0.5,0.46,0.31,0.28,0.27
0.64,0.46,0.3,0.29,0.28
0.59,0.41,0.39,0.36,0.3
0.71,0.44,0.43,0.34,0.29,0.27
0.61,0.58,0.33
0.73,0.34,0.25
0.53,0.48,0.37,0.31
0.63,0.43,0.3,0.29,0.28,0.27
0.57,0.33,0.31
0.52,0.39,0.26,0.26
0.55,0.41,0.37,0.32,0.29
0.6,0.46,0.33,0.33,0.28
0.6,0.49,0.35,0.34,0.3
0.6,0.48,0.29,0.26
0.66,0.38,0.37,0.36,0.34,0.33
0.58,0.45,0.4,0.33,0.32,0.3
0.75,0.43,0.4,0.38,0.29,0.25
0.54,0.49,0.46,0.42,0.37,0.32
0.68,0.51,0.41,0.4,0.39,0.39
0.6,0.53,0.49,0.47,0.45,0.44
0.62,0.56,0.54,0.52,0.44,0.43
0.57,0.48,0.45,0.39,0.36,0.36
0.65,0.53,0.48,0.46,0.37,0.34
0.79,0.62,0.48,0.39,0.37,0.33
0.66,0.56,0.53,0.48,0.41,0.38
0.8,0.54,0.46,0.42,0.34,0.33
0.67,0.63,0.57,0.56,0.51,0.38
0.66,0.62,0.55,0.53,0.46,0.33
0.71,0.61,0.37,0.35,0.3,0.27
0.7,0.55,0.53,0.46,0.44,0.4
0.74,0.65,0.54,0.46,0.42,0.4
0.67,0.66,0.59,0.55,0.42,0.34
0.72,0.58,0.57,0.49,0.44,0.34
0.68,0.59,0.52,0.46,0.45,0.31
0.71,0.65,0.44,0.43,0.38,0.32
0.74,0.65,0.59,0.46,0.32,0.27
0.74,0.68,0.55,0.42,0.37,0.34
0.72,0.62,0.55,0.45,0.45,0.38
0.68,0.63,0.39,0.38,0.29,0.28
0.73,0.63,0.44,0.42,0.39,0.3
0.75,0.56,0.55,0.43,0.41,0.34
0.77,0.6,0.56,0.4,0.36,0.33
0.78,0.75,0.5,0.49,0.35,0.32
0.86,0.78,0.48,0.45,0.45,0.39
0.84,0.83,0.53,0.44,0.43,0.36
0.83,0.8,0.54,0.42,0.29,0.25
0.82,0.55,0.46,0.39,0.38,0.33
0.84,0.56,0.47,0.45,0.38,0.33
0.81,0.6,0.47,0.39,0.38,0.31
0.83,0.5,0.42,0.41,0.36,0.31
0.81,0.58,0.5,0.48,0.47,0.42
0.86,0.61,0.59,0.51,0.43,0.39
0.85,0.53,0.38,0.36,0.33,0.32
0.84,0.62,0.44,0.37,0.35,0.34
0.83,0.56,0.49,0.4,0.39,0.36
0.84,0.47,0.44,0.4,0.31
0.84,0.58,0.49,0.45,0.45,0.36
0.83,0.69,0.59,0.4,0.4,0.33
0.83,0.57,0.48,0.41,0.39,0.34
0.8,0.48,0.46,0.42,0.35,0.34
0.8,0.56,0.49,0.36,0.29,0.25
0.78,0.62,0.51,0.4,0.34,0.34
0.67,0.61,0.48,0.44,0.4,0.31
0.71,0.54,0.44,0.37,0.34,0.29
0.76,0.42,0.36,0.31,0.28,0.27
0.69,0.44,0.41,0.37,0.32,0.29
