0.61,0.61,0.54,0.44,0.42,0.37
0.54,0.54,0.53,0.42,0.4,0.38
0.62,0.54,0.42,0.37,0.33,0.26
0.56,0.54,0.54,0.52,0.46,0.44
0.54,0.54,0.53,0.49,0.42,0.38
0.6,0.56,0.56,0.54,0.39,0.26
0.65,0.64,0.54,0.48,0.39,0.35
0.62,0.56,0.56,0.44,0.41,0.38
0.65,0.59,0.57,0.49,0.42,0.37
0.67,0.57,0.56,0.54,0.46,0.39
0.72,0.59,0.56,0.35,0.34
0.67,0.58,0.55,0.33,0.31
0.62,0.59,0.56,0.44,0.29
0.7,0.57,0.57,0.5,0.37
0.64,0.55,0.48,0.39
0.67,0.51,0.5,0.35,0.29
0.57,0.48,0.45,0.35
0.61,0.52,0.46,0.46,0.43,0.4
0.74,0.51,0.43,0.29,0.28,0.27
0.66,0.56,0.45,0.34
0.66,0.43,0.36,0.31,0.29,0.28
0.59,0.48,0.42,0.4,0.39,0.29
0.72,0.57,0.48,0.48,0.37,0.28
0.73,0.51,0.36,0.36,0.33,0.31
0.51,0.46,0.44,0.4,0.34,0.34
0.57,0.5,0.4,0.38,0.38,0.36
0.63,0.61,0.52,0.51,0.49,0.27
0.65,0.63,0.49,0.42,0.42,0.26
0.69,0.62,0.55,0.49,0.42
0.51,0.49,0.48,0.43,0.38,0.35
0.71,0.58,0.54,0.45,0.4,0.38
0.69,0.67,0.56,0.51,0.44,0.36
0.64,0.63,0.6,0.53,0.52,0.39
0.63,0.62,0.61,0.6,0.54,0.44
0.58,0.57,0.52,0.48,0.47,0.31
0.66,0.63,0.49,0.48,0.45,0.3
0.77,0.57,0.51,0.49,0.46,0.45
0.82,0.54,0.51,0.46,0.36,0.27
0.63,0.51,0.46,0.45,0.38,0.35
0.74,0.51,0.48,0.44,0.39,0.33
0.76,0.66,0.51,0.5,0.38
0.67,0.54,0.51,0.42,0.39,0.35
0.76,0.53,0.45,0.36,0.32,0.28
0.65,0.49,0.46,0.28
0.72,0.49,0.29,0.29,0.28
0.75,0.7,0.5,0.37,0.33,0.29
0.82,0.47,0.45,0.44,0.35,0.33
0.65,0.57,0.42,0.34
0.62,0.55,0.42,0.26
0.57,0.56,0.51,0.41
0.62,0.6,0.55,0.42,0.28
0.58,0.54,0.51,0.43,0.4
0.57,0.55,0.46,0.45,0.41,0.41
0.65,0.65,0.52,0.48,0.43,0.28
0.72,0.59,0.55,0.44,0.29,0.27
0.54,0.52,0.48,0.47,0.45,0.44
0.59,0.49,0.48,0.45,0.43,0.41
0.77,0.62,0.53,0.44,0.42
0.59,0.58,0.57,0.51,0.46,0.4
0.58,0.54,0.51,0.44,0.41,0.31
0.71,0.47,0.47,0.42,0.32,0.28
0.7,0.48,0.41,0.37,0.33,0.26
0.6,0.56,0.43,0.4,0.38
0.65,0.64,0.47,0.44,0.33,0.28
0.68,0.47,0.47,0.45,0.35,0.35
0.69,0.53,0.43,0.43,0.41,0.37
0.67,0.47,0.46,0.42,0.4,0.4
0.69,0.55,0.54,0.46,0.37,0.29
0.73,0.55,0.46,0.45,0.41,0.41
0.76,0.52,0.49,0.47,0.46,0.34
0.76,0.49,0.46,0.46,0.42,0.34
0.61,0.45,0.45,0.41,0.4,0.33
0.57,0.56,0.55,0.45,0.39,0.33
0.56,0.52,0.5,0.48,0.41
0.65,0.52,0.49,0.37,0.28,0.27
0.75,0.49,0.47,0.46,0.45,0.27
0.76,0.48,0.43,0.41,0.39,0.27
0.72,0.5,0.5,0.29,0.27,0.25
0.73,0.48,0.36,0.33,0.33,0.29
0.72,0.49,0.46,0.31
0.66,0.49,0.45,0.37,0.34,0.3
0.72,0.5,0.48,0.46,0.37
0.78,0.6,0.49,0.29,0.28
0.76,0.52,0.5,0.43,0.39
0.71,0.5,0.45,0.44,0.36,0.35
0.66,0.52,0.48,0.44,0.26
