0.86,0.84,0.79,0.76,0.76,0.75
0.84,0.79,0.74,0.72,0.72,0.7
0.83,0.81,0.74,0.72,0.71,0.69
0.84,0.84,0.82,0.76,0.76,0.73
0.89,0.82,0.81,0.79,0.77,0.76
0.86,0.85,0.8,0.78,0.77,0.71
0.88,0.88,0.84,0.81,0.81,0.74
0.88,0.87,0.85,0.84,0.77,0.7
0.84,0.8,0.79,0.77,0.76,0.75
0.89,0.87,0.83,0.8,0.8,0.79
0.83,0.79,0.78,0.75,0.75,0.71
0.85,0.81,0.75,0.74,0.73,0.72
0.85,0.75,0.73,0.71,0.71,0.69
0.77,0.75,0.74,0.74,0.7,0.69
0.77,0.75,0.7,0.68,0.63,0.61
0.77,0.71,0.71,0.71,0.66,0.56
0.79,0.76,0.73,0.72,0.66,0.65
0.77,0.75,0.74,0.72,0.68,0.61
0.81,0.77,0.74,0.71,0.68,0.67
0.8,0.79,0.75,0.72,0.7,0.69
0.79,0.76,0.76,0.73,0.72,0.7
0.83,0.78,0.78,0.75,0.75,0.71
0.84,0.76,0.75,0.74,0.72,0.7
0.82,0.77,0.76,0.75,0.72,0.72
0.83,0.81,0.78,0.74,0.73,0.72
0.84,0.83,0.78,0.77,0.73,0.71
0.9,0.88,0.82,0.82,0.8,0.8
0.89,0.83,0.8,0.78,0.78,0.78
0.91,0.85,0.82,0.82,0.81,0.81
0.9,0.84,0.84,0.77,0.77,0.76
0.87,0.84,0.83,0.82,0.77,0.72
0.9,0.85,0.8,0.78,0.78,0.68
0.85,0.84,0.83,0.82,0.77,0.73
0.85,0.84,0.83,0.81,0.75,0.69
0.88,0.84,0.84,0.77,0.76,0.75
0.88,0.84,0.83,0.81,0.73,0.68
0.88,0.86,0.83,0.81,0.75,0.72
0.88,0.85,0.8,0.8,0.8,0.78
0.91,0.81,0.76,0.75,0.73,0.7
0.83,0.8,0.79,0.77,0.77,0.71
0.84,0.83,0.83,0.82,0.75,0.68
0.86,0.83,0.82,0.79,0.79,0.71
0.87,0.84,0.83,0.79,0.75,0.73
