0.77,0.71,0.69,0.67,0.64
0.72,0.71,0.64,0.64,0.63
0.67,0.66,0.65,0.64,0.56
0.78,0.75,0.66,0.62,0.58
0.76,0.72,0.62,0.59,0.58
0.77,0.71,0.66,0.59,0.57
0.75,0.75,0.68,0.62,0.6
0.77,0.69,0.68,0.68,0.62
0.72,0.67,0.65,0.63,0.58
0.71,0.68,0.65,0.6,0.55
0.76,0.72,0.67,0.66,0.66
0.78,0.71,0.68,0.65,0.64
0.69,0.65,0.61,0.61,0.56
0.73,0.65,0.57,0.53,0.49
0.72,0.68,0.61,0.57,0.51
0.77,0.64,0.64,0.6,0.54
0.72,0.66,0.61,0.58,0.57
0.66,0.65,0.58,0.56,0.55
0.7,0.64,0.55,0.51,0.5
0.64,0.61,0.57,0.53,0.52
0.69,0.67,0.65,0.65,0.58
0.7,0.69,0.66,0.63,0.59
0.75,0.65,0.64,0.58,0.49
0.72,0.65,0.59,0.58,0.58
0.8,0.75,0.67,0.65,0.46
0.72,0.65,0.63,0.57,0.55
0.7,0.64,0.57,0.53,0.5
0.81,0.67,0.51,0.5,0.49
0.76,0.69,0.6,0.6,0.56
0.74,0.7,0.57,0.57,0.53
0.74,0.72,0.61,0.59,0.57
0.73,0.73,0.65,0.62,0.57
0.75,0.71,0.7,0.63,0.63
0.79,0.74,0.71,0.65,0.65
0.77,0.71,0.66,0.65,0.64
0.78,0.7,0.64,0.62,0.62
0.77,0.69,0.63,0.6,0.57
0.78,0.64,0.64,0.64,0.57
0.8,0.74,0.7,0.63,0.6
0.79,0.74,0.7,0.64,0.61
0.81,0.75,0.69,0.67,0.53
0.76,0.75,0.73,0.63,0.59
0.77,0.73,0.73,0.7,0.69
0.81,0.76,0.75,0.67,0.6
0.79,0.71,0.66,0.61,0.57
0.71,0.67,0.66,0.6,0.55
0.77,0.77,0.65,0.59,0.57
0.69,0.68,0.66,0.65,0.51
0.72,0.72,0.69,0.67,0.49
0.79,0.74,0.69,0.63,0.54
0.85,0.79,0.64,0.57,0.56
0.82,0.74,0.66,0.65,0.56
0.83,0.76,0.71,0.62,0.6
0.79,0.69,0.66,0.56,0.55
0.74,0.7,0.66,0.66,0.58
0.71,0.64,0.59,0.5,0.47
0.73,0.72,0.65,0.64,0.59
0.77,0.7,0.64,0.59,0.55
0.74,0.68,0.67,0.63,0.62
0.75,0.69,0.68,0.67,0.58
0.79,0.78,0.75,0.58,0.56
0.76,0.75,0.68,0.68,0.53
0.8,0.78,0.66,0.55,0.53
0.72,0.71,0.63,0.63,0.61
0.65,0.64,0.61,0.6,0.51
0.69,0.68,0.66,0.55,0.54
0.72,0.69,0.68,0.53,0.46
0.71,0.57,0.45,0.44,0.44
0.75,0.65,0.55,0.51,0.49
0.74,0.7,0.56,0.47,0.47
0.78,0.74,0.49,0.49,0.48
0.76,0.61,0.6,0.58,0.54
0.73,0.64,0.64,0.58,0.58
0.7,0.66,0.64,0.6,0.58
0.81,0.64,0.61,0.57,0.54
0.74,0.66,0.62,0.54,0.54
0.64,0.64,0.51,0.43,0.42
0.64,0.63,0.55,0.51,0.49
0.68,0.65,0.65,0.5,0.46
0.72,0.64,0.47,0.47,0.44
0.69,0.61,0.6,0.59,0.57
0.7,0.68,0.62,0.58,0.58
0.76,0.63,0.62,0.56,0.55
0.71,0.71,0.63,0.54,0.54
0.76,0.7,0.67,0.62,0.62
0.75,0.71,0.69,0.62,0.57
