0.76,0.7,0.7,0.7,0.69,0.59
0.73,0.71,0.71,0.69,0.65,0.64
0.68,0.66,0.64,0.62,0.57,0.56
0.71,0.7,0.7,0.66,0.59,0.59
0.72,0.7,0.67,0.64,0.64,0.62
0.75,0.62,0.6,0.54,0.53,0.53
0.72,0.69,0.67,0.59,0.57,0.56
0.69,0.64,0.6,0.59,0.57,0.54
0.69,0.61,0.6,0.58,0.57,0.55
0.69,0.69,0.62,0.53,0.53,0.51
0.68,0.62,0.59,0.54,0.54,0.53
0.64,0.62,0.59,0.58,0.56,0.52
0.76,0.67,0.63,0.58,0.56,0.53
0.79,0.71,0.66,0.66,0.53,0.53
0.85,0.66,0.64,0.59,0.52,0.5
0.8,0.72,0.64,0.59,0.54,0.51
0.83,0.78,0.66,0.66,0.6,0.48
0.86,0.74,0.7,0.68,0.65,0.58
0.86,0.76,0.74,0.62,0.62,0.58
0.88,0.84,0.71,0.67,0.67,0.66
0.91,0.77,0.74,0.7,0.66,0.63
0.9,0.72,0.68,0.66,0.62,0.59
0.9,0.69,0.66,0.64,0.64,0.63
0.89,0.69,0.64,0.63,0.61,0.53
0.9,0.71,0.69,0.64,0.6,0.57
0.89,0.7,0.67,0.67,0.59,0.53
0.9,0.75,0.71,0.7,0.62,0.57
0.87,0.73,0.71,0.68,0.63,0.62
0.82,0.69,0.64,0.64,0.63,0.61
0.84,0.68,0.67,0.62,0.6,0.59
0.86,0.71,0.67,0.62,0.61,0.61
0.82,0.72,0.71,0.67,0.59,0.56
0.84,0.78,0.68,0.62,0.62,0.62
0.84,0.7,0.58,0.57,0.55,0.51
0.88,0.75,0.72,0.63,0.59,0.56
0.91,0.71,0.7,0.69,0.64,0.59
0.9,0.73,0.7,0.61,0.59,0.51
0.92,0.73,0.72,0.68,0.66,0.54
0.91,0.68,0.66,0.62,0.6,0.55
0.91,0.73,0.72,0.7,0.59,0.57
0.9,0.71,0.67,0.59,0.58,0.57
0.88,0.76,0.68,0.63,0.63,0.59
0.79,0.77,0.71,0.69,0.66,0.65
0.74,0.74,0.65,0.63,0.61,0.61
0.8,0.74,0.69,0.69,0.65,0.6
0.76,0.74,0.74,0.7,0.68,0.68
0.76,0.73,0.65,0.64,0.6,0.6
0.75,0.69,0.68,0.63,0.63,0.61
0.75,0.66,0.65,0.65,0.63,0.62
0.78,0.75,0.75,0.72,0.72,0.65
0.74,0.74,0.73,0.73,0.71,0.63
0.75,0.73,0.64,0.63,0.63,0.62
0.71,0.7,0.66,0.65,0.61,0.59
0.7,0.7,0.69,0.68,0.63,0.62
0.8,0.74,0.74,0.66,0.62,0.59
0.77,0.72,0.7,0.68,0.63,0.6
0.79,0.72,0.66,0.65,0.63,0.57
0.78,0.7,0.58,0.57,0.55,0.53
0.77,0.63,0.63,0.59,0.56,0.46
0.78,0.71,0.63,0.54,0.48,0.47
0.79,0.7,0.68,0.56,0.55,0.52
0.76,0.71,0.67,0.61,0.56,0.55
0.72,0.7,0.67,0.64,0.58,0.58
0.75,0.7,0.69,0.69,0.64,0.63
0.73,0.7,0.66,0.65,0.64,0.58
0.76,0.75,0.68,0.63,0.62,0.61
0.72,0.68,0.67,0.63,0.6,0.59
0.72,0.65,0.65,0.63,0.61,0.57
0.71,0.64,0.61,0.59,0.58,0.58
0.74,0.69,0.68,0.62,0.6,0.58
0.69,0.67,0.67,0.63,0.6,0.6
0.74,0.72,0.72,0.64,0.64,0.61
0.74,0.7,0.7,0.64,0.63,0.62
0.76,0.71,0.67,0.66,0.63,0.62
0.75,0.68,0.63,0.6,0.6,0.59
0.81,0.68,0.65,0.6,0.6,0.57
0.82,0.69,0.67,0.67,0.64,0.58
0.79,0.66,0.65,0.63,0.6,0.6
0.73,0.72,0.67,0.63,0.62,0.59
0.72,0.68,0.68,0.66,0.64,0.63
0.75,0.69,0.66,0.65,0.62,0.62
0.72,0.67,0.63,0.61,0.6,0.6
0.68,0.63,0.63,0.62,0.62,0.56
0.73,0.69,0.68,0.68,0.6,0.59
0.76,0.67,0.65,0.65,0.65,0.59
0.79,0.67,0.67,0.63,0.62,0.62
0.81,0.73,0.72,0.72,0.66,0.63
0.82,0.78,0.73,0.72,0.69,0.68
0.79,0.77,0.74,0.73,0.66,0.65
0.82,0.74,0.69,0.67,0.65,0.64
0.8,0.75,0.72,0.7,0.62,0.6
0.8,0.79,0.75,0.66,0.64,0.63
0.81,0.78,0.74,0.64,0.63,0.63
0.79,0.71,0.71,0.69,0.68,0.64
0.79,0.78,0.77,0.72,0.7,0.65
0.72,0.72,0.7,0.7,0.65,0.62
0.73,0.73,0.72,0.71,0.69,0.58
0.72,0.71,0.68,0.65,0.6,0.57
0.71,0.67,0.65,0.63,0.6,0.58
0.72,0.71,0.64,0.62,0.61,0.55
0.72,0.69,0.66,0.59,0.54,0.54
0.71,0.7,0.57,0.56,0.5,0.46
0.71,0.7,0.57,0.51,0.5,0.5
0.73,0.69,0.62,0.5,0.48,0.48
0.72,0.71,0.66,0.59,0.52,0.46
0.82,0.73,0.68,0.47,0.47,0.47
0.77,0.71,0.64,0.58,0.52,0.51
0.78,0.73,0.72,0.65,0.6,0.58
0.78,0.72,0.72,0.63,0.61,0.57
0.77,0.7,0.69,0.61,0.6,0.58
0.77,0.75,0.67,0.67,0.58,0.55
0.79,0.76,0.74,0.68,0.63,0.59
0.71,0.7,0.65,0.65,0.64,0.56
0.73,0.7,0.67,0.64,0.6,0.56
0.75,0.74,0.69,0.65,0.59,0.57
0.8,0.78,0.72,0.67,0.57,0.56
0.77,0.72,0.67,0.67,0.65,0.58
0.8,0.78,0.69,0.69,0.61,0.6
0.82,0.81,0.73,0.65,0.62,0.58
0.82,0.81,0.71,0.63,0.61,0.58
0.79,0.74,0.7,0.63,0.59,0.59
0.8,0.77,0.73,0.66,0.62,0.62
0.75,0.73,0.71,0.64,0.59,0.56
0.73,0.7,0.7,0.68,0.65,0.64
0.77,0.75,0.71,0.69,0.65,0.64
0.73,0.7,0.66,0.66,0.64,0.64
0.72,0.67,0.67,0.63,0.63,0.61
0.73,0.69,0.65,0.58,0.56,0.56
0.77,0.61,0.61,0.59,0.59,0.58
0.77,0.61,0.61,0.61,0.59,0.58
0.78,0.65,0.63,0.6,0.58,0.57
0.85,0.67,0.66,0.65,0.58,0.56
0.83,0.7,0.69,0.61,0.58,0.56
0.84,0.65,0.59,0.58,0.55,0.55
0.75,0.62,0.54,0.51,0.49,0.47
0.74,0.67,0.62,0.54,0.51,0.49
0.66,0.64,0.54,0.51,0.51,0.51
0.67,0.53,0.53,0.52,0.5,0.5
0.62,0.62,0.6,0.58,0.52,0.51
0.7,0.66,0.64,0.64,0.61,0.59
0.69,0.63,0.63,0.63,0.59,0.59
0.74,0.63,0.61,0.59,0.59,0.59
0.7,0.66,0.65,0.65,0.62,0.6
0.69,0.68,0.66,0.65,0.64,0.63
0.74,0.73,0.71,0.65,0.64,0.63
0.76,0.67,0.64,0.62,0.58,0.57
0.73,0.69,0.65,0.63,0.61,0.59
0.77,0.63,0.62,0.6,0.58,0.56
0.69,0.69,0.67,0.58,0.57,0.57
0.7,0.62,0.58,0.57,0.57,0.55
0.68,0.65,0.61,0.57,0.57,0.56
0.72,0.65,0.65,0.64,0.63,0.6
0.71,0.66,0.64,0.64,0.59,0.56
0.73,0.63,0.63,0.63,0.6,0.6
0.73,0.65,0.64,0.63,0.6,0.59
0.73,0.66,0.64,0.63,0.63,0.61
0.72,0.69,0.69,0.68,0.63,0.59
0.79,0.73,0.63,0.62,0.6,0.58
0.8,0.66,0.63,0.6,0.58,0.56
0.81,0.68,0.68,0.61,0.61,0.58
0.81,0.72,0.66,0.64,0.56,0.53
0.8,0.72,0.71,0.66,0.6,0.55
0.76,0.75,0.75,0.69,0.59,0.55
0.77,0.76,0.7,0.67,0.63,0.54
0.77,0.75,0.68,0.68,0.6,0.58
0.75,0.72,0.65,0.63,0.63,0.6
0.74,0.72,0.72,0.61,0.58,0.58
0.77,0.66,0.65,0.64,0.62,0.58
0.79,0.72,0.69,0.68,0.63,0.63
0.77,0.72,0.67,0.66,0.66,0.62
0.76,0.74,0.68,0.65,0.64,0.64
0.79,0.73,0.68,0.61,0.61,0.57
0.78,0.73,0.7,0.6,0.6,0.58
0.83,0.72,0.66,0.64,0.6,0.6
0.82,0.68,0.68,0.64,0.61,0.6
0.84,0.73,0.71,0.7,0.64,0.63
0.8,0.74,0.71,0.68,0.62,0.59
0.74,0.73,0.69,0.68,0.61,0.6
0.72,0.71,0.69,0.68,0.61,0.58
0.77,0.73,0.67,0.65,0.62,0.61
0.73,0.68,0.62,0.61,0.59,0.58
0.73,0.69,0.63,0.58,0.58,0.54
0.73,0.7,0.69,0.68,0.53,0.53
0.75,0.71,0.67,0.55,0.51,0.5
0.74,0.67,0.65,0.61,0.55,0.54
0.67,0.61,0.61,0.58,0.56,0.54
0.69,0.65,0.61,0.6,0.58,0.58
0.7,0.61,0.58,0.57,0.56,0.56
0.72,0.61,0.6,0.59,0.54,0.52
0.81,0.7,0.59,0.58,0.54,0.52
0.77,0.76,0.65,0.61,0.6,0.55
0.74,0.62,0.62,0.6,0.59,0.55
0.66,0.64,0.58,0.56,0.55,0.54
0.72,0.69,0.63,0.62,0.58,0.57
0.69,0.67,0.61,0.56,0.55,0.52
0.73,0.71,0.65,0.53,0.51,0.51
0.71,0.66,0.65,0.63,0.57,0.51
0.77,0.76,0.68,0.66,0.55,0.54
0.84,0.76,0.63,0.61,0.59,0.58
0.82,0.81,0.73,0.67,0.66,0.57
0.79,0.77,0.66,0.65,0.62,0.6
0.79,0.78,0.64,0.63,0.62,0.62
0.8,0.77,0.67,0.66,0.63,0.62
0.82,0.77,0.62,0.57,0.57,0.57
0.82,0.82,0.63,0.62,0.56,0.55
0.84,0.8,0.61,0.57,0.55,0.54
0.8,0.8,0.61,0.61,0.52,0.51
0.84,0.82,0.66,0.62,0.59,0.57
0.82,0.81,0.7,0.68,0.61,0.59
